,pos,pos
1658496,pos,pos
1019348,pos,pos
1570600,pos,pos
1575234,pos,pos
1197536,pos,pos
1024863,pos,pos
1658495,pos,pos
1197472,pos,pos
783696,pos,pos
1018691,pos,pos
1126568,pos,pos
1770601,pos,pos
1770605,pos,pos
1715026,pos,pos
1458703,pos,pos
881193,pos,pos
1271607,pos,pos
1271602,pos,pos
635770,pos,pos
1751019,pos,neg
1033426,pos,pos
1403674,pos,pos
1635526,pos,pos
649519,pos,pos
1492512,pos,pos
1801955,pos,pos
1755779,pos,pos
707161,pos,neg
707169,pos,pos
665117,pos,neg
1450288,pos,pos
1450285,pos,neg
1450287,pos,pos
1450283,pos,pos
689436,pos,pos
1691966,pos,pos
1788078,pos,pos
1373057,pos,pos
734300,pos,pos
1174206,pos,pos
1174207,pos,pos
1702148,pos,pos
1702149,pos,pos
1752094,pos,pos
1752093,pos,pos
1726213,pos,pos
998087,pos,pos
1635529,pos,neg
998082,pos,pos
842289,pos,pos
1199077,pos,pos
1199074,pos,pos
1199072,pos,pos
1673223,pos,pos
1473361,pos,pos
1779763,pos,neg
1668448,pos,pos
1668449,pos,pos
1668447,pos,pos
1477477,pos,pos
969324,pos,pos
1489915,pos,pos
839428,pos,pos
1489911,pos,pos
1135041,pos,pos
1315639,pos,pos
639672,pos,pos
639670,pos,neg
1676913,pos,pos
939916,pos,pos
1676911,pos,pos
868001,pos,neg
868002,pos,pos
1179243,pos,pos
1179242,pos,pos
755513,pos,pos
1844842,pos,pos
824077,pos,pos
824078,pos,pos
755511,pos,pos
1397742,pos,pos
1397743,pos,pos
1354954,pos,pos
827527,neg,pos
827525,pos,pos
827522,pos,neg
827523,pos,pos
827520,pos,pos
1028326,pos,neg
1109778,pos,neg
1077562,pos,pos
1090257,pos,pos
948195,pos,pos
948193,pos,pos
907503,pos,pos
1109776,pos,pos
835908,pos,neg
1504837,pos,pos
672310,pos,pos
1654796,pos,pos
927392,pos,pos
1598755,pos,pos
1147546,pos,pos
1598750,pos,pos
1598752,pos,pos
1090251,pos,pos
1630478,pos,neg
1410336,pos,pos
1410331,pos,pos
1071988,pos,pos
1410339,pos,pos
1100207,pos,pos
638703,pos,pos
1453169,pos,neg
1453168,pos,pos
1463099,pos,pos
1453165,pos,pos
1183801,pos,pos
638705,pos,neg
824690,pos,pos
1801050,pos,pos
1048616,pos,pos
1432322,pos,pos
1048619,pos,neg
1314753,pos,pos
1609920,pos,pos
904752,pos,pos
734899,pos,neg
1675758,pos,pos
1623566,pos,pos
941003,pos,pos
1353871,pos,pos
1141412,pos,pos
1060287,pos,pos
1141416,pos,pos
1673759,pos,pos
1516173,pos,pos
949716,pos,pos
1554849,pos,pos
1009827,pos,pos
1388344,pos,pos
1685911,pos,pos
1685915,pos,pos
1374821,pos,pos
1454914,pos,pos
1067639,pos,pos
767168,pos,neg
1063883,neg,neg
1684359,pos,pos
1145654,pos,pos
1684351,pos,pos
738328,pos,pos
762946,pos,pos
729973,pos,pos
1313904,pos,neg
1313900,pos,pos
666269,pos,pos
762945,pos,pos
1342472,pos,pos
998872,pos,pos
815334,pos,neg
948164,pos,neg
1226800,pos,pos
1226801,pos,pos
1400973,pos,pos
1444352,pos,pos
1444353,pos,pos
1834050,pos,pos
1834057,pos,pos
1834054,pos,pos
697765,pos,neg
1444359,pos,neg
697761,pos,neg
697760,pos,neg
1154411,pos,pos
1025853,pos,pos
1743937,pos,pos
1104028,pos,pos
650931,pos,pos
1214204,pos,pos
1027986,pos,pos
650938,pos,pos
1104024,pos,pos
1101763,pos,pos
1101760,neg,pos
1101766,pos,neg
1210182,pos,pos
1210188,pos,pos
1438717,pos,pos
759379,pos,pos
759378,pos,pos
957481,pos,pos
1525059,pos,pos
759371,pos,pos
759375,pos,pos
966503,pos,pos
966507,pos,neg
1354186,pos,pos
1680633,pos,pos
1680630,pos,pos
1528821,pos,neg
1413017,pos,pos
672483,pos,pos
1200423,pos,pos
1528829,pos,pos
1413019,pos,pos
1718937,pos,pos
872117,pos,pos
1572451,neg,neg
1412767,pos,pos
951889,pos,pos
1191048,pos,pos
632517,pos,pos
801471,pos,pos
877543,pos,pos
1379031,pos,pos
733319,pos,pos
1007104,pos,pos
1478803,pos,pos
1142252,pos,pos
1204584,pos,pos
1107640,pos,pos
962082,pos,pos
962087,pos,pos
1142255,pos,pos
1351294,pos,pos
1351297,pos,pos
1351293,pos,pos
773134,pos,pos
1036862,pos,pos
773131,pos,pos
773132,pos,pos
968155,pos,pos
908204,pos,pos
1603760,pos,pos
672739,pos,pos
1603763,pos,pos
672737,pos,pos
1412002,pos,neg
672733,pos,pos
956285,pos,pos
1158659,pos,pos
902323,pos,neg
1150463,pos,pos
