,1.0,1.0
1658496,1.0,2.81481481481
1019348,1.0,1.0
1570600,1.0,1.0
1575234,1.0,1.72727272727
1197536,1.0,0.666666666667
1024863,1.0,1.0
1658495,1.0,1.0
1197472,1.0,2.16129032258
783696,1.0,1.0
1018691,1.0,1.04347826087
1126568,1.0,3.54545454545
1770601,1.0,3.95454545455
1770605,1.0,1.17647058824
1715026,1.0,2.69230769231
1458703,1.0,1.4
881193,1.0,1.81818181818
1271607,1.0,1.78571428571
1271602,1.0,2.28571428571
635770,1.0,1.72222222222
1751019,1.0,0.916666666667
1033426,1.0,1.0
1403674,1.0,1.66666666667
1635526,1.0,5.0
649519,1.0,0.5
1492512,1.0,1.53333333333
1801955,1.0,3.15384615385
1755779,1.0,3.5625
707161,1.0,0.166666666667
707169,1.0,1.17142857143
665117,1.0,1.0
1450288,1.0,4.16666666667
1450285,1.0,0.769230769231
1450287,1.0,2.0
1450283,1.0,1.86666666667
689436,1.0,2.88888888889
1691966,1.0,1.58064516129
1788078,1.0,2.7
1373057,1.0,2.83333333333
734300,0.210526315789,0.980392156863
1174206,1.0,1.0
1174207,1.0,1.0
1702148,1.0,4.55555555556
1702149,1.0,1.0
1752094,1.0,1.5
1752093,1.0,1.0
1726213,1.0,1.6875
998087,1.0,5.09090909091
1635529,1.0,6.6
998082,1.0,2.92857142857
842289,1.0,3.13043478261
1199077,1.0,3.04761904762
1199074,1.0,2.45454545455
1199072,1.0,2.86666666667
1673223,1.0,42.0
1473361,1.0,1.06666666667
1779763,0.666666666667,1.15
1668448,1.0,2.0
1668449,1.0,0.222222222222
1668447,1.0,1.38461538462
1477477,1.0,0.607843137255
969324,1.0,3.18518518519
1489915,1.0,2.3125
839428,1.0,1.81481481481
1489911,1.0,1.5
1135041,1.0,1.94736842105
1315639,1.0,2.75
639672,1.0,3.33333333333
639670,1.0,1.0
1676913,1.0,0.1
939916,1.0,1.0
1676911,1.0,2.42857142857
868001,1.0,2.0
868002,1.0,0.857142857143
1179243,1.0,3.13043478261
1179242,1.0,3.6
755513,1.0,3.45454545455
1844842,1.0,1.72222222222
824077,1.0,3.90476190476
824078,1.0,1.0
755511,1.0,1.0
1397742,1.0,2.2
1397743,1.0,0.803571428571
1354954,1.0,1.78571428571
827527,1.10526315789,1.76119402985
827525,1.0,1.13043478261
827522,1.0,0.630434782609
827523,1.0,1.01612903226
827520,1.0,2.33333333333
1028326,1.0,3.42857142857
1109778,1.0,1.0
1077562,1.0,1.0
1090257,1.0,2.28571428571
948195,1.0,4.22222222222
948193,1.0,0.48
907503,1.0,10.5
1109776,1.0,2.63636363636
835908,1.0,2.44444444444
1504837,1.0,1.11538461538
672310,1.0,4.75
1654796,1.0,2.1
927392,1.0,1.04761904762
1598755,1.0,7.0
1147546,1.0,6.33333333333
1598750,1.0,3.41176470588
1598752,1.0,8.0
1090251,1.0,0.894736842105
1630478,1.0,2.91666666667
1410336,2.66666666667,2.16666666667
1410331,1.0,4.15
1071988,1.0,2.16666666667
1410339,1.0,3.35
1100207,1.0,4.33333333333
638703,1.0,0.942857142857
1453169,1.0,3.26923076923
1453168,1.0,3.68421052632
1463099,1.0,2.22222222222
1453165,1.0,1.64864864865
1183801,1.0,4.75
638705,1.0,0.666666666667
824690,1.0,0.918918918919
1801050,1.0,0.55
1048616,1.0,2.75
1432322,1.0,2.75
1048619,1.0,1.66666666667
1314753,1.0,3.3125
1609920,1.0,1.0
904752,1.0,6.85714285714
734899,1.0,2.0
1675758,1.0,0.72
1623566,1.0,0.9
941003,0.5,1.0
1353871,1.0,6.16666666667
1141412,1.0,1.35714285714
1060287,0.272727272727,1.0
1141416,1.0,1.01666666667
1673759,1.0,1.71428571429
1516173,1.0,1.5
949716,1.0,1.0
1554849,1.0,3.57894736842
1009827,1.0,2.25
1388344,1.0,1.0
1685911,1.0,1.22727272727
1685915,1.0,6.0
1374821,1.0,1.0
1454914,1.0,1.38888888889
1067639,1.0,1.2
767168,1.0,1.44444444444
1063883,1.5,3.16666666667
1684359,1.0,1.11538461538
1145654,1.0,1.85714285714
1684351,1.0,1.125
738328,1.0,2.07142857143
762946,1.0,1.875
729973,1.0,1.05882352941
1313904,1.0,4.0
1313900,1.0,1.0
666269,1.0,0.375
762945,1.0,2.8125
1342472,1.0,1.74193548387
998872,1.0,4.42857142857
815334,1.0,0.25
948164,1.0,0.5
1226800,1.0,2.63636363636
1226801,1.0,0.888888888889
1400973,1.0,3.61538461538
1444352,1.0,0.538461538462
1444353,1.0,0.6
1834050,1.0,2.04761904762
1834057,1.0,0.821428571429
1834054,1.0,1.71428571429
697765,1.0,0.666666666667
1444359,1.0,1.35483870968
697761,1.0,0.2
697760,1.0,1.44444444444
1154411,1.0,7.0
1025853,1.0,1.33333333333
1743937,1.0,3.0625
1104028,1.0,1.94444444444
650931,1.0,1.0
1214204,1.0,1.2
1027986,1.0,2.0
650938,1.0,1.88235294118
1104024,1.0,3.1875
1101763,1.0,4.0
1101760,1.0,1.53846153846
1101766,1.0,0.333333333333
1210182,1.0,0.549295774648
1210188,1.0,2.1
1438717,1.0,2.38095238095
759379,1.0,1.8275862069
759378,1.0,4.7
957481,1.0,3.0
1525059,1.0,3.875
759371,1.0,3.20833333333
759375,1.0,1.0
966503,1.0,0.833333333333
966507,1.0,1.30769230769
1354186,1.0,3.375
1680633,1.0,1.39130434783
1680630,1.0,7.0
1528821,1.0,0.2
1413017,1.0,1.31818181818
672483,1.0,1.13513513514
1200423,1.0,2.94117647059
1528829,1.0,1.0
1413019,1.0,1.23076923077
1718937,1.0,3.0
872117,1.0,6.16666666667
1572451,1.0,1.75
1412767,1.0,1.0
951889,1.0,1.75
1191048,1.25,1.0
632517,1.0,1.0
801471,1.0,6.0
877543,1.0,1.63636363636
1379031,1.0,0.913043478261
733319,1.0,4.38461538462
1007104,1.0,4.27777777778
1478803,1.0,0.8
1142252,1.0,3.71428571429
1204584,1.0,1.53333333333
1107640,1.0,1.69230769231
962082,1.0,2.15
962087,1.0,5.8
1142255,1.0,1.5
1351294,1.0,1.0
1351297,1.0,2.4
1351293,1.0,2.34090909091
773134,1.0,1.12121212121
1036862,1.0,1.25925925926
773131,1.0,1.40909090909
773132,1.0,0.510204081633
968155,1.0,8.66666666667
908204,1.0,1.5
1603760,1.0,2.02325581395
672739,1.0,1.45833333333
1603763,1.0,3.0
672737,1.0,1.34146341463
1412002,1.0,5.2
672733,1.0,1.45833333333
956285,1.0,2.45454545455
1158659,1.0,1.0
902323,1.0,2.63636363636
1150463,1.0,1.5
1404761,1.0,1.0
1127964,1.0,1.375
1423176,1.0,1.42857142857
951774,1.0,1.0
759951,1.0,2.14285714286
1059749,1.0,3.0
879399,1.0,30.0
1672932,1.0,11.5
670641,1.0,2.2
879393,1.0,1.23529411765
879397,1.0,8.0
1059745,1.0,15.0
922395,1.0,2.69230769231
1483094,1.0,0.625
997497,1.0,2.80769230769
668228,1.0,0.5
1091951,1.0,0.478260869565
758021,1.0,0.851851851852
758022,1.0,1.07407407407
668222,0.571428571429,0.25
758025,1.0,6.16666666667
668221,1.0,0.571428571429
1737009,1.0,5.5
1737008,1.0,2.33333333333
1819205,1.0,1.14285714286
1819203,1.0,0.631578947368
1726217,1.0,2.10526315789
1825281,1.0,1.09375
1737000,1.0,4.6
1737003,1.0,3.1
1737004,1.0,4.4
1733586,1.0,5.23076923077
809662,1.35,0.938461538462
1092751,1.0,5.5
874013,1.0,2.22222222222
1097501,1.0,2.71428571429
911799,1.0,2.13793103448
620654,1.0,1.0
1742718,1.0,2.59090909091
1705431,1.0,1.0
763236,1.0,2.5
1414686,1.0,2.36842105263
1079797,1.0,2.0
1216171,1.0,1.0
763238,1.5,7.16666666667
1792213,1.0,1.76923076923
1400375,1.0,1.61764705882
1397883,1.0,1.26666666667
1096453,1.0,1.0
1733630,1.0,1.78571428571
1044768,1.0,9.5
1096456,1.0,1.0
722714,1.0,1.03448275862
731227,1.0,2.75
731225,1.0,2.0
1013063,1.0,2.09090909091
845832,1.0,2.2
731221,1.0,1.16129032258
1013067,1.0,3.66666666667
1009015,1.0,3.71428571429
1009011,1.0,2.0
800431,1.0,1.0
1255936,1.0,1.0625
1255937,1.0,0.538461538462
914673,1.0,1.65384615385
671117,1.0,1.66666666667
1566936,1.0,1.66666666667
671112,1.0,2.1
1431380,1.0,2.125
997230,1.0,3.0
1431382,1.0,2.16666666667
1079240,1.0,1.22222222222
918161,1.0,1.94444444444
1414350,1.0,5.5
1196064,1.0,2.23076923077
671118,1.0,2.125
1049481,1.0,1.21052631579
1159266,1.0,4.10526315789
1362432,1.0,1.69444444444
899275,1.0,4.75
1362434,1.0,3.08333333333
984533,1.0,1.71428571429
1480840,1.0,1.31034482759
1779766,1.0,1.0
753963,1.0,1.0
1091222,1.0,3.76923076923
1621569,1.0,1.78571428571
1286507,1.0,4.0
1523543,1.0,1.84210526316
760765,1.0,0.736842105263
1499324,1.0,0.944444444444
610722,1.0,1.67741935484
1826254,1.0,1.6
1292986,1.0,1.0
1292987,1.0,4.68
1826251,1.0,2.6
1134335,1.0,1.0
698336,1.0,1.0
1134336,1.0,1.0
1734064,1.0,1.71428571429
1739097,1.0,7.5
1531261,1.0,0.533333333333
648018,1.0,1.05769230769
646313,1.0,0.818181818182
646311,1.0,1.8
646316,1.0,0.5
811777,0.609756097561,0.142857142857
646315,1.0,1.1724137931
1532790,1.0,4.66666666667
1089046,1.0,0.518518518519
1119807,1.0,1.5
713323,1.0,2.5
1089042,0.571428571429,2.04918032787
1009721,1.0,0.272727272727
1635564,1.0,0.59375
917322,1.0,2.23076923077
726703,1.0,1.65714285714
726706,1.0,1.18421052632
917327,1.0,2.47826086957
950872,1.0,1.34482758621
792167,1.0,1.0
1789500,1.0,1.22222222222
1814957,1.0,1.47727272727
1192766,1.0,2.21428571429
1237143,1.0,2.7
1237142,1.0,1.66666666667
1192761,1.0,1.95238095238
1192760,1.0,1.4
1198509,1.0,1.2
1011333,1.0,1.72727272727
1655221,1.0,4.44444444444
1198500,1.0,4.26315789474
1655228,1.0,1.3
1198502,1.0,1.11111111111
752615,1.0,3.54545454545
1577490,1.0,6.14285714286
720662,1.0,1.0
949783,1.0,1.56
720666,1.0,1.0
1251138,1.0,1.0
680539,1.0,1.0
1710691,1.0,2.7
1194423,1.0,2.04761904762
1194426,1.0,1.03125
1194424,1.0,1.88888888889
1227723,1.0,1.0
954618,1.0,0.5
754646,1.0,7.0
1666845,1.0,4.0
1666846,1.0,1.78571428571
954612,1.0,0.717948717949
954615,1.0,1.78947368421
710788,1.0,2.90909090909
1496238,1.0,4.4
1820596,1.0,1.66666666667
1121935,1.0,2.15625
750613,1.0,1.0
1492754,1.0,2.15151515152
1426314,1.0,1.375
953046,1.0,1.875
755065,1.0,2.91666666667
815296,1.0,1.28
946292,1.0,3.6
598221,1.0,1.22222222222
1297854,1.0,3.71428571429
1612991,1.0,1.0
616280,1.0,1.2
616283,1.0,3.33333333333
1324926,1.0,1.28260869565
1277448,1.0,4.09090909091
1168564,1.0,1.0
978393,1.0,1.0
1710523,3.0,1.75
666146,1.0,0.742857142857
978397,1.0,1.0
995405,1.0,5.375
1127192,1.0,0.571428571429
1535214,1.0,1.25
1754551,0.5,1.0
763955,1.0,5.66666666667
763952,1.0,1.08
1754558,1.0,1.0
1629494,1.0,2.52173913043
614662,1.0,0.695652173913
1084590,1.0,1.6
1388629,1.0,3.66666666667
1391314,1.0,4.125
1391316,1.0,3.22222222222
1394143,1.0,1.0
616134,1.0,1.0
850211,1.0,1.0
866578,1.0,1.24324324324
652642,1.0,1.0
946124,1.0,0.272727272727
1571394,1.0,1.89473684211
1194289,1.0,2.0
866572,1.0,3.66666666667
1576164,1.5,1.0
866576,1.0,2.03846153846
642589,1.0,0.823529411765
943624,1.0,1.5
1756958,1.0,1.93333333333
1756959,1.0,1.11111111111
1536541,1.0,4.33333333333
721530,1.0,2.125
629808,1.0,0.25
1462944,1.0,2.16666666667
1477674,1.0,3.0
952316,1.0,2.84615384615
952317,1.0,0.8
952315,1.0,1.90476190476
952313,1.0,2.49450549451
1289466,1.0,2.83333333333
952318,1.0,0.666666666667
952319,1.0,5.2
943510,1.0,2.10714285714
943514,1.0,1.92307692308
981486,1.0,0.586206896552
1191901,1.0,25.5
1191907,1.0,2.44444444444
1191908,1.0,0.294117647059
1191909,1.0,2.73333333333
1051974,1.0,0.458333333333
714797,1.0,4.0
1667825,1.0,3.72727272727
1175794,1.0,1.40740740741
1667820,1.0,2.27272727273
1667823,1.0,2.71428571429
1429332,1.0,14.5
1324079,1.0,1.0
781886,1.0,1.0
1057537,1.0,0.6
667791,1.0,2.42857142857
1361861,1.0,2.54545454545
1361862,1.0,0.478260869565
1300465,1.0,0.657142857143
755938,1.0,0.681818181818
1300467,1.0,1.33333333333
838981,1.0,4.16666666667
